compound_id,base_rdkit_smiles,relation,avg_pic50
"InChI=1S/C22H17F2N3O3/c1-4-21(28)26-15-6-8-19(30-20-7-5-14(23)10-17(20)24)16(11-15)13-9-18(25-2)22(29)27(3)12-13/h1,5-12,25H,2-3H3,(H,26,28)",C#CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cc(NC)c(=O)n(C)c2)c1,,7.2839966563652006
"InChI=1S/C29H29N3O4S/c1-6-9-25(33)31-19-12-13-23(36-26-17(3)10-8-11-18(26)4)20(14-19)22-16-32(5)29(35)21-15-24(37-27(21)22)28(34)30-7-2/h6,8-16H,7H2,1-5H3,(H,30,34)(H,31,33)/b9-6+",C/C=C/C(=O)Nc1ccc(Oc2c(C)cccc2C)c(-c2cn(C)c(=O)c3cc(C(=O)NCC)sc23)c1,,5.132532512140949
"InChI=1S/C28H28N4O3S/c1-6-24(33)30-18-11-12-22(31-25-16(3)9-8-10-17(25)4)19(13-18)21-15-32(5)28(35)20-14-23(36-26(20)21)27(34)29-7-2/h6,8-15,31H,1,7H2,2-5H3,(H,29,34)(H,30,33)",C=CC(=O)Nc1ccc(Nc2c(C)cccc2C)c(-c2cn(C)c(=O)c3cc(C(=O)NCC)sc23)c1,,5.295163393788596
"InChI=1S/C27H25N3O2/c1-5-25(31)28-19-13-14-24(29-26-17(2)9-8-10-18(26)3)22(15-19)23-16-30(4)27(32)21-12-7-6-11-20(21)23/h5-16,29H,1H2,2-4H3,(H,28,31)",C=CC(=O)Nc1ccc(Nc2c(C)cccc2C)c(-c2cn(C)c(=O)c3ccccc23)c1,<,5.0
"InChI=1S/C25H19F2N3O2/c1-3-24(31)28-16-9-11-22(29-23-10-8-15(26)12-21(23)27)19(13-16)20-14-30(2)25(32)18-7-5-4-6-17(18)20/h3-14,29H,1H2,2H3,(H,28,31)",C=CC(=O)Nc1ccc(Nc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3ccccc23)c1,,5.767003889607846
"InChI=1S/C24H24FN3O3/c1-6-22(29)27-18-7-8-21(31-23-14(2)9-17(25)10-15(23)3)19(12-18)16-11-20(26-4)24(30)28(5)13-16/h6-13,26H,1H2,2-5H3,(H,27,29)",C=CC(=O)Nc1ccc(Oc2c(C)cc(F)cc2C)c(-c2cc(NC)c(=O)n(C)c2)c1,,6.372634143407267
"InChI=1S/C28H26FN3O4S/c1-6-24(33)31-18-8-9-22(36-25-15(3)10-17(29)11-16(25)4)19(12-18)21-14-32(5)28(35)20-13-23(37-26(20)21)27(34)30-7-2/h6,8-14H,1,7H2,2-5H3,(H,30,34)(H,31,33)",C=CC(=O)Nc1ccc(Oc2c(C)cc(F)cc2C)c(-c2cn(C)c(=O)c3cc(C(=O)NCC)sc23)c1,,5.545765104251735
"InChI=1S/C27H23FN2O3/c1-5-25(31)29-19-10-11-24(33-26-16(2)12-18(28)13-17(26)3)22(14-19)23-15-30(4)27(32)21-9-7-6-8-20(21)23/h5-15H,1H2,2-4H3,(H,29,31)",C=CC(=O)Nc1ccc(Oc2c(C)cc(F)cc2C)c(-c2cn(C)c(=O)c3ccccc23)c1,,4.797784224198868
"InChI=1S/C24H25N3O3/c1-6-22(28)26-18-10-11-21(30-23-15(2)8-7-9-16(23)3)19(13-18)17-12-20(25-4)24(29)27(5)14-17/h6-14,25H,1H2,2-5H3,(H,26,28)",C=CC(=O)Nc1ccc(Oc2c(C)cccc2C)c(-c2cc(NC)c(=O)n(C)c2)c1,,6.459670525209126
"InChI=1S/C28H27N3O4S/c1-6-24(32)30-18-11-12-22(35-25-16(3)9-8-10-17(25)4)19(13-18)21-15-31(5)28(34)20-14-23(36-26(20)21)27(33)29-7-2/h6,8-15H,1,7H2,2-5H3,(H,29,33)(H,30,32)",C=CC(=O)Nc1ccc(Oc2c(C)cccc2C)c(-c2cn(C)c(=O)c3cc(C(=O)NCC)sc23)c1,,5.7594507517174005
"InChI=1S/C27H24N2O3/c1-5-25(30)28-19-13-14-24(32-26-17(2)9-8-10-18(26)3)22(15-19)23-16-29(4)27(31)21-12-7-6-11-20(21)23/h5-16H,1H2,2-4H3,(H,28,30)",C=CC(=O)Nc1ccc(Oc2c(C)cccc2C)c(-c2cn(C)c(=O)c3ccccc23)c1,,5.012780770091995
"InChI=1S/C28H27N3O4S/c1-6-24(32)30-18-11-12-22(35-25-16(3)9-8-10-17(25)4)19(13-18)21-15-31(5)28(34)26-20(21)14-23(36-26)27(33)29-7-2/h6,8-15H,1,7H2,2-5H3,(H,29,33)(H,30,32)",C=CC(=O)Nc1ccc(Oc2c(C)cccc2C)c(-c2cn(C)c(=O)c3sc(C(=O)NCC)cc23)c1,,4.902395671125589
"InChI=1S/C26H28N2O4/c1-7-24(29)27-19-11-12-22(32-26-17(4)9-8-10-18(26)5)20(13-19)21-15-28(6)25(30)14-23(21)31-16(2)3/h7-16H,1H2,2-6H3,(H,27,29)",C=CC(=O)Nc1ccc(Oc2c(C)cccc2C)c(-c2cn(C)c(=O)cc2OC(C)C)c1,,5.143089939699213
"InChI=1S/C24H24N2O4/c1-6-22(27)25-17-10-11-20(30-24-15(2)8-7-9-16(24)3)18(12-17)19-14-26(4)23(28)13-21(19)29-5/h6-14H,1H2,2-5H3,(H,25,27)",C=CC(=O)Nc1ccc(Oc2c(C)cccc2C)c(-c2cn(C)c(=O)cc2OC)c1,,6.645891560852599
"InChI=1S/C22H20FN3O3/c1-4-21(27)25-16-7-10-20(29-17-8-5-15(23)6-9-17)18(12-16)14-11-19(24-2)22(28)26(3)13-14/h4-13,24H,1H2,2-3H3,(H,25,27)",C=CC(=O)Nc1ccc(Oc2ccc(F)cc2)c(-c2cc(NC)c(=O)n(C)c2)c1,,6.982966660701219
"InChI=1S/C23H21F2N3O3/c1-5-22(29)26-16-7-9-20(31-21-8-6-15(24)11-18(21)25)17(12-16)14-10-19(27(2)3)23(30)28(4)13-14/h5-13H,1H2,2-4H3,(H,26,29)",C=CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cc(N(C)C)c(=O)n(C)c2)c1,,7.522878745280337
"InChI=1S/C22H19F2N3O3/c1-4-21(28)26-15-6-8-19(30-20-7-5-14(23)10-17(20)24)16(11-15)13-9-18(25-2)22(29)27(3)12-13/h4-12,25H,1H2,2-3H3,(H,26,28)",C=CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cc(NC)c(=O)n(C)c2)c1,,6.72584215073632
"InChI=1S/C22H18F2N2O4/c1-4-21(27)25-14-6-8-18(30-19-7-5-13(23)9-17(19)24)15(10-14)16-12-26(2)22(28)11-20(16)29-3/h4-12H,1H2,2-3H3,(H,25,27)",C=CC(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)cc2OC)c1,,6.73754891026957
"InChI=1S/C26H22N2O4/c1-4-25(29)27-17-9-14-24(32-19-12-10-18(31-3)11-13-19)22(15-17)23-16-28(2)26(30)21-8-6-5-7-20(21)23/h4-16H,1H2,2-3H3,(H,27,29)",C=CC(=O)Nc1ccc(Oc2ccc(OC)cc2)c(-c2cn(C)c(=O)c3ccccc23)c1,,6.319664486585437
"InChI=1S/C22H21F2N3O4S/c1-5-32(29,30)25-16-7-9-20(31-21-8-6-15(23)11-18(21)24)17(12-16)14-10-19(26(2)3)22(28)27(4)13-14/h5-13,25H,1H2,2-4H3",C=CS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cc(N(C)C)c(=O)n(C)c2)c1,,8.221848749616356
"InChI=1S/C21H19F2N3O4S/c1-4-31(28,29)25-15-6-8-19(30-20-7-5-14(22)10-17(20)23)16(11-15)13-9-18(24-2)21(27)26(3)12-13/h4-12,24-25H,1H2,2-3H3",C=CS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cc(NC)c(=O)n(C)c2)c1,,7.619788758288394
"InChI=1S/C21H18F2N2O5S/c1-4-31(27,28)24-14-6-8-18(30-19-7-5-13(22)9-17(19)23)15(10-14)16-12-25(2)21(26)11-20(16)29-3/h4-12,24H,1H2,2-3H3",C=CS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)cc2OC)c1,,7.657577319177793
"InChI=1S/C19H18N4/c1-3-15-7-6-8-16(13-15)22-11-12-23-19(14(2)20-21-23)17-9-4-5-10-18(17)22/h3-10,13H,1,11-12H2,2H3",C=Cc1cccc(N2CCn3nnc(C)c3-c3ccccc32)c1,>,7.0
"InChI=1S/C21H18N4O2/c1-4-18-23-16-9-8-14(19-12(2)24-27-13(19)3)21-20(16)25(18)17(11-26-21)15-7-5-6-10-22-15/h4-10,17H,1,11H2,2-3H3/t17-/m1/s1",C=Cc1nc2ccc(-c3c(C)noc3C)c3c2n1[C@@H](c1ccccn1)CO3,>,7.0
"InChI=1S/C28H31N5O4/c1-16(29)23(17(2)34)19-9-10-21-24-25(19)36-15-22(20-8-6-7-12-30-20)33(24)26(31-21)18-11-13-32(14-18)27(35)37-28(3,4)5/h6-12,22,29,34H,13-15H2,1-5H3/b23-17+,29-16?/t22-/m1/s1",CC(=N)/C(=C(/C)O)c1ccc2nc(C3=CCN(C(=O)OC(C)(C)C)C3)n3c2c1OC[C@@H]3c1ccccn1,>,7.0
"InChI=1S/C16H17N5/c1-11(17)21-15(18)9-8-14-16(21)19-12(2)20(14)10-13-6-4-3-5-7-13/h3-9,17-18H,10H2,1-2H3",CC(=N)n1c(=N)ccc2c1nc(C)n2Cc1ccccc1,,6.259637310505756
"InChI=1S/C27H30N6O3/c1-16-24(17(2)36-30-16)20-8-9-22-25-26(20)35-15-23(21-7-5-6-12-28-21)33(25)27(29-22)32-13-10-19(11-14-32)31(4)18(3)34/h5-9,12,19,23H,10-11,13-15H2,1-4H3/t23-/m1/s1",CC(=O)N(C)C1CCN(c2nc3ccc(-c4c(C)noc4C)c4c3n2[C@@H](c2ccccn2)CO4)CC1,>,7.6020599913279625
"InChI=1S/C26H28N6O3/c1-15-23(16(2)35-29-15)19-8-9-21-24-25(19)34-14-22(20-7-5-6-11-27-20)32(24)26(28-21)31-12-10-18(13-31)30(4)17(3)33/h5-9,11,18,22H,10,12-14H2,1-4H3/t18-,22-/m1/s1",CC(=O)N(C)[C@@H]1CCN(c2nc3ccc(-c4c(C)noc4C)c4c3n2[C@@H](c2ccccn2)CO4)C1,>,7.0
"InChI=1S/C26H23ClN8O/c1-17-29-30-25-7-6-22-24(35(17)25)13-23(33(22)14-19-4-3-5-20(27)12-19)21-8-11-34(31-21)26(9-10-28)15-32(16-26)18(2)36/h3-8,11-13H,9,14-16H2,1-2H3",CC(=O)N1CC(CC#N)(n2ccc(-c3cc4c(ccc5nnc(C)n54)n3Cc3cccc(Cl)c3)n2)C1,>,7.0
