trial,featurizer,descriptor,model_params,train_r2,train_rms,valid_r2,valid_rms,test_r2,test_rms
0,ecfp,moe,"8.707015506831699e-06_339,40,143_0.33041536772418034,0.27672623382376416,0.1632405525193511",-0.005327889538187636,0.8796337762674342,0.0005310535236570102,0.9199486487614077,-0.030646627253444025,1.1791142535026238
1,ecfp,moe,"0.01860303728857844_236,208,247_0.25278361979213704,0.04612584710758121,0.3180276232470375",0.0,100.0,0.0,100.0,0.0,100.0
2,ecfp,moe,"2.1526746677801166e-05_190,59,382_0.03532387953757148,0.3164979261037113,0.1593068651028855",0.5408240131670858,0.5944805029205921,0.4721919497763266,0.6685239002132828,0.6196335317525856,0.7163118044073162
3,ecfp,moe,"0.0016672117569290937_321,164,282_0.0026669011428602563,0.30128210250629217,0.04505206352413915",0.8862314184721086,0.2959097011339067,0.661812422944414,0.5351281020657379,0.7512361184845491,0.579288168384128
4,ecfp,moe,"0.006576554502065591_192,312,332_0.2047030061305145,0.16868270631382398,0.3985549423357646",0.8500022234814425,0.33977423425063663,0.6351588692895488,0.5558157252854748,0.705971875153242,0.6297895253851138
5,ecfp,moe,"0.0004843852821124176_66,295,406_0.2714051430453563,0.15981784202973973,0.19000922214624327",0.7955129907716455,0.39671707500567277,0.672870623242056,0.5263064669381683,0.7948430033249456,0.526070758660744
6,ecfp,moe,"3.72033241430068e-05_200,151,210_0.18648776407756906,0.08158562735829422,0.25282498259243574",0.6669224706884531,0.5063148892857152,0.5946435642541253,0.5858648865007197,0.7308447419902823,0.6025629578941752
7,ecfp,moe,"5.1559297724200615e-06_62,440,43_0.34670860778723617,0.23224181637885857,0.15763402082103234",-0.004821550804606778,0.8794122322557009,-0.0006333912249127938,0.9204843920408036,-0.03534349407469439,1.181797931493927
8,ecfp,moe,"0.042629910391375744_356,141,427_0.30066234182652096,0.21348669016893596,0.24928234290073795",0.0,100.0,0.0,100.0,0.0,100.0
9,ecfp,moe,"0.007211928747414464_443,39,441_0.3075032403453167,0.3874767972289015,0.25497299689960257",0.7422826862161251,0.4453688411459027,0.6422128625999375,0.5504163106577608,0.6553549053151237,0.6818471771889072
