trial,featurizer,descriptor,model_params,train_r2,train_rms,valid_r2,valid_rms,test_r2,test_rms
0,computed_descriptors,rdkit_raw,"3.957591003341133e-06_89,404,268_0.05897516227006752,0.004505328402445263,0.08106071254126253",0.057448439823945874,0.8517273437559764,0.03656793514304768,0.9032115476801154,0.0058064770216911255,1.158074398569027
1,computed_descriptors,rdkit_raw,"2.988810581190929e-06_371,509,37_0.3819508597263197,0.3397032774398326,0.19466718583125397",-0.0011149963291223752,0.8777887594770926,-0.008192249273208274,0.9239545542198773,-0.05186388811990694,1.1911892593048838
2,computed_descriptors,rdkit_raw,"0.004272351650636517_133,250,101_0.2342656162125977,0.34630185943614744,0.035286616159899656",0.702566877760085,0.4784567618812935,0.6437231931843865,0.5492533429839906,0.6677039408691774,0.6695200564786407
3,computed_descriptors,rdkit_raw,"3.413012724967415e-05_462,330,115_0.29740667447300595,0.1578356851013985,0.18218491157144268",0.42920912563480784,0.662806169514635,0.33470334478857133,0.7505620526077532,0.3875189645237601,0.9089653311017304
4,computed_descriptors,rdkit_raw,"5.7976258972738404e-05_364,142,355_0.279605627725939,0.14073141867526506,0.11784116650157067",0.5399500519860465,0.5950459788087137,0.43324406940972837,0.6927506946550557,0.5391605262378678,0.7884530401903295
5,computed_descriptors,rdkit_raw,"0.00020187477666818232_92,195,228_0.14525110416758014,0.31644945442462435,0.35130844219474744",0.6018378437344811,0.5535769793034068,0.44903931447401235,0.6830291496197913,0.5550765127314519,0.7747180281099201
6,computed_descriptors,rdkit_raw,"0.0008162106308955505_204,290,384_0.3105792421241967,0.23518557946082158,0.38149005786235324",0.7683404065510215,0.42225342080677436,0.5749664144339753,0.5999161557611503,0.7141056059847272,0.6210174675201178
7,computed_descriptors,rdkit_raw,"0.00030714559541241397_237,30,28_0.08680430480626052,0.0373167251324666,0.3995799492437409",0.638988105863544,0.5271191412788688,0.499076777894071,0.6512751626238993,0.5344509967029389,0.7924715807300281
8,computed_descriptors,rdkit_raw,"3.326088917772526e-05_57,337,34_0.052905962427821196,0.0710659713416955,0.24858990955774424",0.2799604568969106,0.7444340092314595,0.2557581041401744,0.7938455057224582,0.24147600582403528,1.011546048086687
9,computed_descriptors,rdkit_raw,"0.002016272939688698_401,512,313_0.2852539952549571,0.07325119102839271,0.07431022219229595",0.7323685775674826,0.45385443415120763,0.5996587439311575,0.5822293670202395,0.6204166910434983,0.7155739958051328
