trial,featurizer,descriptor,model_params,train_r2,train_rms,valid_r2,valid_rms,test_r2,test_rms
0,ecfp,moe,157_10_129,0.7618787926786219,0.42810181551240606,0.6300880963093951,0.5596649210073873,0.7386520630444129,0.59375944927255
1,ecfp,moe,209_17_186,0.8640765798958379,0.3234410800518079,0.6607250530898988,0.5359877066564201,0.765468305629806,0.5624731120372446
2,ecfp,moe,191_28_107,0.9049721894351966,0.2704415356454748,0.6660014710662445,0.531803523293772,0.779898732459849,0.5448943037842835
3,ecfp,moe,420_22_93,0.8913611563170061,0.28916158654339746,0.666654787270931,0.5312831528493065,0.7741794003246489,0.5519284414224764
4,ecfp,moe,291_26_176,0.9019062641641599,0.2747695921031676,0.6696248366918234,0.528911035755267,0.7774951047725034,0.5478614986507655
5,ecfp,moe,493_13_105,0.815445660494718,0.376886136392701,0.6415297356449225,0.550941518068651,0.7601406216882313,0.568825880757563
6,ecfp,moe,400_30_183,0.9083571235606683,0.26558123600526395,0.6620526447710953,0.5349380118689464,0.7736033111773938,0.5526320031382188
7,ecfp,moe,404_25_147,0.9002529873873273,0.2770754074062602,0.6664450517281001,0.5314502640517202,0.7733843785890498,0.5528991446753809
8,ecfp,moe,323_29_86,0.9068592607491736,0.26774284385605085,0.6728170394965919,0.526349569635464,0.7720118338626873,0.554570991457859
9,ecfp,moe,483_29_186,0.9074676931343529,0.2668669096064324,0.6679548113050577,0.5302461564266053,0.763898034182344,0.5643529475247104
