trial,featurizer,descriptor,model_params,train_r2,train_rms,valid_r2,valid_rms,test_r2,test_rms
0,computed_descriptors,rdkit_raw,286_20_149,0.9021721612790241,0.2743969382400911,0.6066210934494742,0.5771443755601526,0.6712017719028474,0.6659869669511516
1,computed_descriptors,rdkit_raw,308_22_121,0.904657131117299,0.27088948003613295,0.597014419167708,0.5841490661935588,0.6695258957721371,0.6676820689633395
2,computed_descriptors,rdkit_raw,474_27_124,0.9068502810525975,0.2677557500857629,0.5985473339073137,0.5830369868415164,0.6688531559291799,0.6683613172946421
3,computed_descriptors,rdkit_raw,346_17_155,0.8968367677206532,0.28178021886747256,0.6029441292968105,0.5798354238192021,0.6719096183665847,0.6652697025737211
4,computed_descriptors,rdkit_raw,301_20_10,0.9028733569559493,0.2734117791833422,0.5670923827520596,0.6054475791724379,0.6277088228221573,0.7086672584823358
5,computed_descriptors,rdkit_raw,112_23_109,0.9043536817092792,0.2713202199087461,0.6097655128147605,0.5748330860586942,0.6696463720278285,0.6675603541796832
6,computed_descriptors,rdkit_raw,304_27_25,0.9069889902668241,0.26755631831729476,0.5844246827105278,0.5932036380570295,0.6479768486793873,0.6891069171345786
7,computed_descriptors,rdkit_raw,143_25_130,0.9044547058619733,0.27117689428261293,0.6004879060511883,0.5816261157250351,0.6577313503223711,0.6794923268351778
8,computed_descriptors,rdkit_raw,144_8_19,0.7554719263751484,0.4338228218638652,0.5140563032800047,0.641463441363742,0.5974555746189643,0.7368988935763887
9,computed_descriptors,rdkit_raw,467_24_147,0.9056817897541752,0.26942991075350065,0.6025320095016653,0.5801362626922165,0.6645171339497826,0.6727228329670275
