trial,featurizer,descriptor,model_params,train_r2,train_rms,valid_r2,valid_rms,test_r2,test_rms
0,ecfp,moe,0.009378543228660297_0.2574269155455335_6_1.0_1.0_100_1.0,0.9122716393866933,0.2598471982914063,0.681695253347384,0.5191591237867527,0.7390862948108985,0.593265976083249
1,ecfp,moe,0.10954307789445661_0.24434203812289726_6_1.0_1.0_100_1.0,0.8834874432824401,0.29945695065505784,0.6641682417341552,0.5332609903571278,0.7383507349349818,0.5941016461011922
2,ecfp,moe,0.01883717147923496_6.508317609404164_6_1.0_1.0_100_1.0,0.0,100.0,0.0,100.0,0.0,100.0
3,ecfp,moe,0.17047962683145007_0.6656193294640276_6_1.0_1.0_100_1.0,0.8771223330849842,0.3075278911368902,0.6305488708944893,0.55931624376149,0.7061691836634161,0.6295781787889643
4,ecfp,moe,0.07559543869891816_0.38671436372812024_6_1.0_1.0_100_1.0,0.8969570222609531,0.2816159392568917,0.6054799014706727,0.5779809170466219,0.7451219576070954,0.5863638767401858
5,ecfp,moe,0.0780964686690588_4.501836559796818_6_1.0_1.0_100_1.0,0.0,100.0,0.0,100.0,0.0,100.0
6,ecfp,moe,0.1764681892023552_0.16201292760394037_6_1.0_1.0_100_1.0,0.8642302586413786,0.3232581826633525,0.6661155074750719,0.5317127292691007,0.7481940052875885,0.582819439141828
7,ecfp,moe,0.10335144237989524_4.991358913206771_6_1.0_1.0_100_1.0,0.0,100.0,0.0,100.0,0.0,100.0
8,ecfp,moe,0.13446207946018024_0.1897738887533385_6_1.0_1.0_100_1.0,0.8725213051153135,0.3132325138785048,0.6764921838892723,0.5233850608030104,0.7530682580248018,0.5771510049000506
9,ecfp,moe,0.1739662570629895_1.7549840626118878_6_1.0_1.0_100_1.0,0.9055651899193972,0.2695963991746287,-0.4931797835251974,1.1244366275334763,0.011140835509711122,1.1549633881684496
