trial,featurizer,descriptor,model_params,train_r2,train_rms,valid_r2,valid_rms,test_r2,test_rms
0,ecfp,moe,32_6_26,0.5051084608699212,0.48126779430319633,-0.09239462067118476,0.3359997420123761,0.5002657373361219,0.43140117776297937
1,ecfp,moe,369_17_102,0.897353925772168,0.21918102717965923,-0.13887501310430905,0.34307352104945116,0.44710457021750394,0.45376737030775105
2,ecfp,moe,155_22_15,0.9160370194422068,0.19823288854435483,-0.25783408141387176,0.360546136743274,0.42197201702855314,0.46396604157426785
3,ecfp,moe,125_21_188,0.9162701286329819,0.1979575170291343,-0.18756612697291009,0.35033059633541613,0.40279386744781687,0.4716001044011368
4,ecfp,moe,75_11_195,0.8124370067309779,0.29628206527061157,-0.08751035127944262,0.3352477464622914,0.49671560599055087,0.43293081117349635
5,ecfp,moe,325_27_99,0.9282928698960606,0.18319472174029042,-0.1781064227215512,0.3489325058464795,0.4484939655358644,0.453196865648551
6,ecfp,moe,378_30_78,0.9307535186181792,0.1800240969637628,-0.1638554224568718,0.34681564836303663,0.4706176664538342,0.4440138173367594
7,ecfp,moe,63_31_113,0.9263883577624127,0.185611567842743,-0.165856110249881,0.3471136114446861,0.3638035665981286,0.4867515893202858
8,ecfp,moe,309_12_42,0.8125014908509919,0.2962311300346142,-0.1299973009701687,0.34173374863479755,0.47357413914321145,0.4427722263580193
9,ecfp,moe,166_14_21,0.8290355561749765,0.282868563340751,-0.17956349769692204,0.34914821798705553,0.47624089182371876,0.44164931116808215
