trial,featurizer,descriptor,model_params,train_r2,train_rms,valid_r2,valid_rms,test_r2,test_rms
0,ecfp,moe,294_13_158,0.858548777565195,0.2275771552002065,0.5859863789175079,0.4704422116378871,-0.12041288522155691,0.6621138189787
1,ecfp,moe,425_8_47,0.6770315231410116,0.34387878169864583,0.5722048299044453,0.4782080764725806,0.015974909878136545,0.6205070079527303
2,ecfp,moe,409_32_36,0.9282005223641789,0.1621384265221225,0.5825890150701516,0.47236847427588835,-0.020972202206731794,0.6320487309367733
3,ecfp,moe,399_27_97,0.9267528424529735,0.16376485301796176,0.5571442881879085,0.4865529313269769,-0.06918941401939982,0.6468013681107795
4,ecfp,moe,336_18_131,0.9062401164860274,0.18528226080574567,0.5774841314637351,0.4752481997415318,-0.09172348162954402,0.6535817705732223
5,ecfp,moe,333_18_160,0.9034040083975593,0.1880636515255311,0.5647125913475415,0.48237747571485035,-0.11832916587179487,0.6614978400584212
6,ecfp,moe,316_9_30,0.6942892311666995,0.3345651343815176,0.5650115014352661,0.48221182394953477,0.02977213483442731,0.6161415212519398
7,ecfp,moe,139_20_21,0.9060503268668285,0.18546969103305228,0.5829521892224612,0.47216293422309,0.009708658620508515,0.6224795604875948
8,ecfp,moe,371_17_183,0.8989485181888719,0.19235197725929082,0.5668272693781006,0.48120432556434184,-0.151629972067173,0.6712743989161766
9,ecfp,moe,192_11_78,0.8049556817261337,0.26723415461791794,0.5899177742974624,0.4682032684893884,-0.06766134477521502,0.6463390035130698
